IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,RT,PT,accuracy,key,stim,acc00,acc0,time0,key0,stim0,y,exp,err00,err0,time,key_rep,stim_rep,key_stim_rep,time_rep
NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,d,1,2.03,0,3,3,0,1,NA,NA,NA,NA,NA,2029.9999999999998,464.9999999999999,1,d,d,1,0,236,d,k,1,memory_color_short,-0.5,0.5,0.4649999999999999,TRUE,FALSE,TRUE,FALSE
NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,j,red,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,j,1,1.997,1,1,5,2,1,NA,NA,NA,NA,NA,1997,823.5000000000001,1,j,j,1,0,262.50000000000006,k,f,1,memory_color_short,-0.5,0.5,0.8235000000000001,FALSE,FALSE,FALSE,FALSE
NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,d,1,2.015,1,2,6,0,1,NA,NA,NA,NA,NA,2015.0000000000002,432.5000000000001,1,d,d,0,1,823.5000000000001,j,j,1,memory_color_short,0.5,-0.5,0.4325000000000001,FALSE,FALSE,FALSE,FALSE
NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,k,purple,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,k,1,2.057,2,0,8,3,1,NA,NA,NA,NA,NA,2057,703.5,1,k,k,1,0,150.49999999999997,k,f,1,memory_color_short,-0.5,0.5,0.7035,TRUE,FALSE,TRUE,FALSE
NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,j,red,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,j,1,2.036,2,2,10,2,1,NA,NA,NA,NA,NA,2036,493,1,j,j,1,1,233.49999999999994,k,k,1,memory_color_short,-0.5,-0.5,0.493,FALSE,FALSE,FALSE,FALSE
NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,d,1,2.047,2,3,11,0,1,NA,NA,NA,NA,NA,2047.0000000000002,923.5000000000001,1,d,d,1,1,493,j,j,1,memory_color_short,-0.5,-0.5,0.9235000000000001,FALSE,FALSE,FALSE,FALSE
NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,d,1,1.964,3,0,12,0,1,NA,NA,NA,NA,NA,1964,397,1,d,d,1,1,923.5000000000001,d,d,1,memory_color_short,-0.5,-0.5,0.397,TRUE,TRUE,TRUE,FALSE
NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,f,blue,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,f,1,2.095,4,0,16,1,1,NA,NA,NA,NA,NA,2095,742.5000000000001,1,f,f,1,0,250.50000000000006,f,k,1,memory_color_short,-0.5,0.5,0.7425000000000002,TRUE,FALSE,TRUE,FALSE
NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,k,purple,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,k,1,2.045,4,2,18,3,1,NA,NA,NA,NA,NA,2045,152.49999999999997,1,k,k,1,0,202.49999999999991,d,k,1,memory_color_short,-0.5,0.5,0.15249999999999997,FALSE,TRUE,FALSE,FALSE
NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,f,blue,558812eefdf99b14f004b722,2021-09-27_16h11.00.912,forced_choiceRT_color,2021.2.3,Win32,30.0120048,NA,NA,NA,NA,NA,NA,NA,1,Ontime,short,f,1,1.967,5,0,20,1,1,NA,NA,NA,NA,NA,1967,853.5,1,f,f,1,1,934.5000000000001,f,f,1,memory_color_short,-0.5,-0.5,0.8535,TRUE,TRUE,TRUE,FALSE
